Hash,File,Operator,Start,End,StartLine,EndLine,Original,Replacement,Status,Time(ms)
m1bf81a80,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,AVR,2997,3013,84,84,_forgingContract,address(this),killed,7067
m1e4d1963,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,AVR,2997,3013,84,84,_forgingContract,address(0),killed,7111
mdf7232fc,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1532,1536,45,45," <= ","  < ",killed,6176
m14991852,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1532,1536,45,45," <= ","  > ",killed,6066
m5c27a6ce,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1532,1536,45,45," <= "," >= ",killed,6007
m20f07cbc,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1532,1536,45,45," <= "," != ",killed,6083
m8dcea6e6,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1532,1536,45,45," <= "," == ",killed,5961
m29c683b4,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1624,1627,46,46," < "," <= ",live,7220
m8c2ac8de,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1624,1627,46,46," < "," >=  ",killed,6099
m719d4ed8,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1624,1627,46,46," < "," > ",killed,5991
m460b15c5,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1624,1627,46,46," < "," != ",killed,6112
mbfe99d89,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1624,1627,46,46," < "," == ",live,7345
m8c215ce3,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1582,1585,46,46," - "," + ",live,7416
mfe0de014,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1582,1585,46,46," - "," * ",killed,6215
mfb3b41fa,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1582,1585,46,46," - "," / ",killed,6085
ma3f51376,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1582,1585,46,46," - "," ** ",killed,6185
mc267c2be,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,1582,1585,46,46," - "," % ",killed,6126
m8f6cfafe,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,2153,2157,61,61," && "," || ",live,7605
ma5ac137e,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,2148,2152,61,61," >= ","  > ",killed,6870
m1d71212d,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,2148,2152,61,61," >= ","  < ",killed,6697
mf1091dea,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,2148,2152,61,61," >= "," <= ",killed,6461
m4a082911,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Forge/contracts/ERC1155.sol,BOR,2148,2152,61,61," >= "," != ",killed,6930
