Hash,File,Operator,Start,End,StartLine,EndLine,Original,Replacement,Status,Time(ms)
m885a3c72,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BLR,1178,1182,30,30,true,false,killed,8190
m566f6923,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BLR,1467,1472,38,38,false,true,killed,6663
m1dccd681,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,563,566,12,12," * "," + ",killed,6372
m240fccaa,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,563,566,12,12," * "," - ",stillborn,2184
m05b5c155,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,563,566,12,12," * "," / ",stillborn,2279
mfb23580f,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,563,566,12,12," * "," ** ",stillborn,2208
m0453f620,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,563,566,12,12," * "," % ",killed,6295
m6d751b56,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,569,571,12,12,**,+,killed,6404
m46b21985,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,569,571,12,12,**,-,stillborn,2205
m1d15d2b1,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,569,571,12,12,**,*,killed,6312
mcbaa6f7d,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,569,571,12,12,**,/,stillborn,2185
m489e270c,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,569,571,12,12,**,%,killed,6388
m854b3990,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,692,696,15,15," ** "," + ",killed,6344
me04a758d,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,692,696,15,15," ** "," - ",stillborn,2277
m573cdbd4,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,692,696,15,15," ** "," * ",killed,6367
m355e202b,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,692,696,15,15," ** "," / ",stillborn,2190
m86ddc54c,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,692,696,15,15," ** "," % ",killed,6345
md9227a19,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,1058,1062,27,27," != "," >  ",killed,6684
m81c13b0b,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,1058,1062,27,27," != ","  < ",live,6864
m1de14af9,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,1058,1062,27,27," != "," <= ",killed,6654
m12cce8b4,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,1058,1062,27,27," != "," >= ",killed,6639
me3bf674e,C:/Users/julya/Desktop/solidity/metana-bootcamp/module-4/Partial Refund/contracts/MyToken.sol,BOR,1058,1062,27,27," != "," == ",killed,6645
